Nom,Sexe,Identifiant,"État
membre"
DÍAZ DE MERA GARCÍA CONSUEGRA Agustín,M,28397,ES
DIČKUTĖ Jolanta,F,28272,LT
DIDŽIOKAS Gintaras,M,23747,LT
DÍEZ GONZÁLEZ Rosa,F,4327,ES
DILLEN Koenraad,M,24029,BE
DIMITRAKOPOULOS Giorgos,M,2185,GR
DIMITROV Konstantin,M,37488,BG
DIMITROV Martin,M,34252,BG
DIMITROV Philip Dimitrov,M,37526,BG
DÎNCU Vasile,M,33998,RO
DIONISI Armando,M,28426,IT
DI PIETRO Antonio,M,4404,IT
DOBOLYI Alexandra,F,28637,HU
DOMBROVSKIS Valdis,M,28618,LV
DONNICI Beniamino,M,38399,IT
DOORN Bert,M,4500,NL
DOUAY Brigitte,F,28157,FR
DOVER Den,M,4552,GB
DOYLE Avril,F,4382,IE
DRČAR MURKO Mojca,F,28305,SI
DROUTSAS Konstantinos,M,58782,GR
DUCA Viorel,M,33999,RO
DUCHOŇ Petr,M,28315,CZ
DUFF Andrew,M,4514,GB
DÜHRKOP DÜHRKOP Bárbara,F,1313,ES
DUIN Garrelt,M,5969,DE
DUKA-ZÓLYOMI Árpád,M,28197,SK
DUMITRESCU Cristian,M,33978,RO
DUMITRIU Constantin,M,39718,RO
DUQUESNE Antoine,M,28841,BE
EBNER Michl,M,2075,IT
EHLER Christian,M,28226,DE
EK Lena,F,28127,SE
EL KHADRAOUI Saïd,M,25718,BE
ELLES James,M,1419,GB
ESTEVES Maria da Assunção,F,28401,PT
ESTRELA Edite,F,28310,PT
ETTL Harald,M,2286,AT
EURLINGS Camiel,M,28163,NL
EVANS Jill,F,4550,GB
EVANS Jonathan,M,4549,GB
EVANS Robert,M,2099,GB
FAJMON Hynek,M,23695,CZ
FALBR Richard,M,23840,CZ
FARAGE Nigel,M,4525,GB
FÄRM Göran,M,4265,SE
FATUZZO Carlo,M,4413,IT
FAVA Claudio,M,4469,IT
FAZAKAS Szabolcs,M,23804,HU
FERBER Markus,M,1917,DE
FERNANDES Emanuel Jardim,M,28318,PT
FERNÁNDEZ MARTÍN Fernando,M,2012,ES
FERRARI Francesco,M,38849,IT
FERREIRA Anne,F,5735,FR
FERREIRA Elisa,F,28308,PT
FIGUEIREDO Ilda,F,4466,PT
FILIP Petru,M,39710,RO
FIORE Roberto,M,41004,IT
FJELLNER Christofer,M,28126,SE
FLASAROVÁ Věra,F,28336,CZ
FLAŠÍKOVÁ BEŇOVÁ Monika,F,23868,SK
FLAUTRE Hélène,F,4385,FR
FLORENZ Karl-Heinz,M,1038,DE
FOGLIETTA Alessandro,M,28425,IT
FOLTYN-KUBICKA Hanna,F,34930,PL
FONTAINE Nicole,F,945,FR
FORD Glyn,M,1413,GB
FOTYGA Anna Elżbieta,F,28353,PL
FOURÉ Brigitte,F,39956,FR
FOURTOU Janelly,F,4336,FR
FRAGA ESTÉVEZ Carmen,F,1993,ES
FRAILE CANTÓN Juan,M,40600,ES
FRANÇA Armando,M,39510,PT
FRASSONI Monica,F,4254,IT
FREITAS Duarte,M,28403,PT
FRIEDRICH Ingo,M,1264,DE
FRUNZĂVERDE Sorin,M,39708,RO
FRUTEAU Jean-Claude,M,4297,FR
FUNERIU Daniel Petru,M,95020,RO
GABRIELE Corrado,M,36391,IT
GACEK Urszula,F,39763,PL
GAHLER Michael,M,2341,DE
GÁL Kinga,F,28150,HU
GAĽA Milan,M,26833,SK
GALEOTE Gerardo,M,2001,ES
GANŢ Ovidiu Victor,M,33979,RO
GARCÉS RAMÓN Vicente Miguel,M,39321,ES
GARCÍA-MARGALLO Y MARFIL José Manuel,M,1992,ES
GARCÍA PÉREZ Iratxe,F,28298,ES
GARDINI Elisabetta,F,58758,IT
GARGANI Giuseppe,M,4562,IT
GARRIGA POLLEDO Salvador,M,1665,ES
GAUBERT Patrick,M,28183,FR
GAUZÈS Jean-Paul,M,28193,FR
GAWRONSKI Jas,M,1113,IT
GEBHARDT Evelyne,F,1913,DE
GENTVILAS Eugenijus,M,28283,LT
GEORGIOU Georgios,M,39320,GR
GEREMEK Bronisław,M,28384,PL
GERINGER de OEDENBERG Lidia Joanna,F,28377,PL
GEWALT Roland,M,34757,DE
GIBAULT Claire,F,28207,FR
GIEREK Adam,M,28379,PL
GIERTYCH Maciej Marian,M,24088,PL
GILL Neena,F,4533,GB
GIUNTINI Monica,F,94391,IT
GKLAVAKIS Ioannis,M,28570,GR
GLANTE Norbert,M,1902,DE
GLATTFELDER Béla,M,28145,HU
GOBBO Gian Paolo,M,4741,IT
GOEBBELS Robert,M,4429,LU
GOEPEL Lutz,M,1845,DE
GOLIK Bogdan,M,28373,PL
GOLLNISCH Bruno,M,1164,FR
GOMES Ana,F,28306,PT
GOMOLKA Alfred,M,1923,DE
GOTTARDI Donata,F,36395,IT
GOUDIN Hélène,F,28146,SE
GRABOWSKA Genowefa,F,23717,PL
GRABOWSKI Dariusz Maciej,M,28332,PL
GRAÇA MOURA Vasco,M,4450,PT
GRAEFE zu BARINGDORF Friedrich-Wilhelm,M,1040,DE
de GRANDES PASCUAL Luis,M,28393,ES
GRÄSSLE Ingeborg,F,28220,DE
GRAU i SEGÚ Martí,M,40601,ES
GRECH Louis,M,28123,MT
GRIESBECK Nathalie,F,28208,FR
de GROEN-KOUWENHOVEN Elly,F,28265,NL
GRÖNER Lissy,F,1061,DE
GROOTE Matthias,M,34728,DE
GROSCH Mathieu,M,2247,BE
GROSSETÊTE Françoise,F,2025,FR
GRUBER Lilli,F,28368,IT
GUARDANS CAMBÓ Ignasi,M,28411,ES
GUELLEC Ambroise,M,28194,FR
GUERREIRO Pedro,M,31123,PT
GUIDONI Umberto,M,28974,IT
GURMAI Zita,F,23805,HU
GUTIÉRREZ-CORTINES Cristina,F,4326,ES
GUY-QUINT Catherine,F,4314,FR
GYÜRK András,M,23816,HU
HALL Fiona,F,28477,GB
HĂMBĂŞAN Ioan Lucian,M,95704,RO
HAMMERSTEIN David,M,28345,ES
HAMON Benoît,M,28159,FR
HANDZLIK Małgorzata,F,28275,PL
HANNAN Daniel,M,4555,GB
HÄNSCH Klaus,M,1266,DE
HARANGOZÓ Gábor,M,28199,HU
HARBOUR Malcolm,M,4538,GB
HARKIN Marian,F,28116,IE
HARMS Rebecca,F,28233,DE
HASSE FERREIRA Joel,M,31730,PT
HASSI Satu,F,28321,FI
HATZIDAKIS Konstantinos,M,2186,GR
HAUG Jutta,F,1914,DE
HAZAN Adeline,F,4299,FR
HEATON-HARRIS Christopher,M,4517,GB
HEDH Anna,F,28131,SE
HEDKVIST PETERSEN Ewa,F,4266,SE
HEGYI Gyula,M,23806,HU
HELLVIG Eduard-Raul,M,37448,RO
HELMER Roger,M,4516,GB
HÉNIN Jacky,M,28215,FR
HENNICOT-SCHOEPGES Erna,F,29019,LU
HENNIS-PLASSCHAERT Jeanine,F,28176,NL
HERCZOG Edit,F,28155,HU
HERRANZ GARCÍA Esther,F,22418,ES
HERRERO-TEJEDOR Luis,M,28396,ES
HIERONYMI Ruth,F,4279,DE
HIGGINS Jim,M,28117,IE
HOGEA Vlad Gabriel,M,33980,RO
HÖKMARK Gunnar,M,28124,SE
HOLM Jens,M,37008,SE
HOŁOWCZYC Krzysztof,M,39764,PL
HONEYBALL Mary,F,5846,GB
HOPPENSTEDT Karsten Friedrich,M,1222,DE
HORÁČEK Milan,M,28239,DE
HORTEFEUX Brice,M,5565,FR
HOWITT Richard,M,2073,GB
HUDACKÝ Ján,M,28180,SK
HUDGHTON Ian,M,2338,GB
HUGHES Stephen,M,1407,GB
HUHNE Christopher,M,4523,GB
HUTCHINSON Alain,M,28282,BE
HYBÁŠKOVÁ Jana,F,28350,CZ
HYUSMENOVA Filiz,F,34249,BG
IACOB-RIDZI Monica Maria,F,33987,RO
IBRISAGIC Anna,F,28125,SE
ILCHEV Stanimir,M,34235,BG
ILVES Toomas Hendrik,M,23860,EE
in 't VELD Sophia,F,28266,NL
IOTOVA Iliana,F,38605,BG
IRUJO AMEZAGA Mikel,M,38733,ES
ISLER BÉGUIN Marie Anne,F,1833,FR
ITÄLÄ Ville,M,28313,FI
ITURGAIZ ANGULO Carlos José,M,28398,ES
IVANOVA Iglika,F,34233,BG
JÄÄTTEENMÄKI Anneli,F,28314,FI
JACKSON Caroline,F,1370,GB
JACOBS Lily,F,39094,NL
JAŁOWIECKI Stanisław,M,28277,PL
